PERMNO,date,TICKER
14593,20201217,AAPL
14593,20201218,AAPL
14593,20201221,AAPL
14593,20201222,AAPL
14593,20201223,AAPL
14593,20201224,AAPL
14593,20201228,AAPL
14593,20201229,AAPL
14593,20201230,AAPL
14593,20201231,AAPL
14655,20201201,JD
14655,20201202,JD
14655,20201203,JD
14655,20201204,JD
14655,20201207,JD
14655,20201208,JD
14655,20201209,JD
14655,20201210,JD
14655,20201211,JD
14655,20201214,JD
14655,20201215,JD
14655,20201216,JD
14655,20201217,JD
14655,20201218,JD
14655,20201221,JD
14655,20201222,JD
14655,20201223,JD
14655,20201224,JD
14655,20201228,JD
14655,20201229,JD
14655,20201230,JD
14655,20201231,JD
14702,20201201,AMAT
14702,20201202,AMAT
14702,20201203,AMAT
14702,20201204,AMAT
14702,20201207,AMAT
14702,20201208,AMAT
14702,20201209,AMAT
14702,20201210,AMAT
14702,20201211,AMAT
14702,20201214,AMAT
14702,20201215,AMAT
14702,20201216,AMAT
14702,20201217,AMAT
14702,20201218,AMAT
14702,20201221,AMAT
14702,20201222,AMAT
14702,20201223,AMAT
14702,20201224,AMAT
14702,20201228,AMAT
14702,20201229,AMAT
14702,20201230,AMAT
14702,20201231,AMAT
14813,20201201,MARA
14813,20201202,MARA
14813,20201203,MARA
14813,20201204,MARA
14813,20201207,MARA
14813,20201208,MARA
14813,20201209,MARA
14813,20201210,MARA
14813,20201211,MARA
14813,20201214,MARA
14813,20201215,MARA
14813,20201216,MARA
14813,20201217,MARA
14813,20201218,MARA
14813,20201221,MARA
14813,20201222,MARA
14813,20201223,MARA
14813,20201224,MARA
14813,20201228,MARA
14813,20201229,MARA
14813,20201230,MARA
14813,20201231,MARA
14888,20201201,BABA
14888,20201202,BABA
14888,20201203,BABA
14888,20201204,BABA
14888,20201207,BABA
14888,20201208,BABA
14888,20201209,BABA
14888,20201210,BABA
14888,20201211,BABA
14888,20201214,BABA
14888,20201215,BABA
14888,20201216,BABA
14888,20201217,BABA
14888,20201218,BABA
14888,20201221,BABA
14888,20201222,BABA
14888,20201223,BABA
14888,20201224,BABA
14888,20201228,BABA
14888,20201229,BABA
14888,20201230,BABA
14888,20201231,BABA
15069,20201201,MRO
15069,20201202,MRO
15069,20201203,MRO
15069,20201204,MRO
15069,20201207,MRO
15069,20201208,MRO
15069,20201209,MRO
15069,20201210,MRO
15069,20201211,MRO
15069,20201214,MRO
15069,20201215,MRO
15069,20201216,MRO
15069,20201217,MRO
15069,20201218,MRO
15069,20201221,MRO
15069,20201222,MRO
15069,20201223,MRO
15069,20201224,MRO
15069,20201228,MRO
15069,20201229,MRO
15069,20201230,MRO
15069,20201231,MRO
15826,20201201,SQ
15826,20201202,SQ
15826,20201203,SQ
15826,20201204,SQ
15826,20201207,SQ
15826,20201208,SQ
15826,20201209,SQ
15826,20201210,SQ
15826,20201211,SQ
15826,20201214,SQ
15826,20201215,SQ
15826,20201216,SQ
15826,20201217,SQ
15826,20201218,SQ
15826,20201221,SQ
15826,20201222,SQ
15826,20201223,SQ
15826,20201224,SQ
15826,20201228,SQ
15826,20201229,SQ
15826,20201230,SQ
15826,20201231,SQ
16595,20201201,SNAP
16595,20201202,SNAP
16595,20201203,SNAP
16595,20201204,SNAP
16595,20201207,SNAP
16595,20201208,SNAP
16595,20201209,SNAP
16595,20201210,SNAP
16595,20201211,SNAP
16595,20201214,SNAP
16595,20201215,SNAP
16595,20201216,SNAP
16595,20201217,SNAP
16595,20201218,SNAP
16595,20201221,SNAP
16595,20201222,SNAP
16595,20201223,SNAP
16595,20201224,SNAP
16595,20201228,SNAP
16595,20201229,SNAP
16595,20201230,SNAP
16595,20201231,SNAP
16932,20201201,ROKU
16932,20201202,ROKU
16932,20201203,ROKU
16932,20201204,ROKU
16932,20201207,ROKU
16932,20201208,ROKU
16932,20201209,ROKU
16932,20201210,ROKU
16932,20201211,ROKU
16932,20201214,ROKU
16932,20201215,ROKU
16932,20201216,ROKU
16932,20201217,ROKU
16932,20201218,ROKU
16932,20201221,ROKU
16932,20201222,ROKU
16932,20201223,ROKU
16932,20201224,ROKU
16932,20201228,ROKU
16932,20201229,ROKU
16932,20201230,ROKU
16932,20201231,ROKU
17362,20201201,IQ
17362,20201202,IQ
17362,20201203,IQ
17362,20201204,IQ
17362,20201207,IQ
17362,20201208,IQ
17362,20201209,IQ
17362,20201210,IQ
17362,20201211,IQ
17362,20201214,IQ
17362,20201215,IQ
17362,20201216,IQ
17362,20201217,IQ
17362,20201218,IQ
17362,20201221,IQ
17362,20201222,IQ
17362,20201223,IQ
17362,20201224,IQ
17362,20201228,IQ
17362,20201229,IQ
17362,20201230,IQ
17362,20201231,IQ
17977,20201201,TLRY
17977,20201202,TLRY
17977,20201203,TLRY
17977,20201204,TLRY
17977,20201207,TLRY
17977,20201208,TLRY
17977,20201209,TLRY
17977,20201210,TLRY
17977,20201211,TLRY
